event_id,event_time,latitude,longitude,depth_km,magnitude,nn_log_eta_b0,parent_id,parent_distance_km,parent_dt_days,parent_lat,parent_lon,parent_depth
18350,2019-11-22 10:46:00,6.92,125.05,11.0,2.8,-8.766611015346536,17135.0,0.0,19.76875,6.92,125.05,11.0
18406,2019-11-24 12:29:00,7.64,124.84,1.0,3.4,-9.82423043819781,18356.0,0.0,1.73125,7.64,124.84,1.0
18409,2019-11-24 16:25:00,6.85,125.04,14.0,2.1,-8.423338986548508,15403.0,0.0,43.576388888888886,6.85,125.04,14.0
18416,2019-11-24 17:54:00,6.83,124.95,22.0,2.1,-8.473152625837216,15539.0,0.0,38.854166666666664,6.83,124.95,22.0
18510,2019-11-26 21:20:00,12.99,124.61,1.0,2.1,-7.4853753725953425,6449.0,0.0,377.75902777777776,12.99,124.61,1.0
18550,2019-11-28 05:37:00,18.98,121.1,17.0,3.1,-7.68075467655413,9768.0,0.0,240.89930555555554,18.98,121.1,17.0
18576,2019-11-28 23:33:00,6.93,125.26,20.0,2.6,-8.787951375756546,17773.0,0.0,18.820833333333333,6.93,125.26,20.0
18610,2019-11-29 11:28:00,9.78,126.79,11.0,4.0,-7.726294521823174,10633.0,0.0,216.91805555555555,9.78,126.79,11.0
18621,2019-11-29 21:40:00,6.85,124.82,29.0,2.4,-8.574010133119785,16495.0,0.0,30.802083333333332,6.85,124.82,29.0
18842,2019-12-07 15:37:00,6.87,124.99,13.0,2.3,-7.890819092749072,13102.0,0.0,148.51527777777778,6.87,124.99,13.0
18966,2019-12-12 03:06:00,6.68,124.81,38.0,2.5,-8.43530261863094,16584.0,0.0,42.392361111111114,6.68,124.81,38.0
19010,2019-12-13 23:34:00,6.87,125.03,13.0,2.0,-8.33134851438268,15979.0,0.0,53.856944444444444,6.87,125.03,13.0
19331,2019-12-16 22:10:00,6.78,125.05,1.0,3.6,-8.420235638419198,17176.0,0.0,43.888888888888886,6.78,125.05,1.0
19336,2019-12-16 22:38:00,6.8,125.06,1.0,2.6,-8.566477760099888,18024.0,0.0,31.340972222222224,6.8,125.06,1.0
19397,2019-12-17 09:14:00,14.94,122.58,1.0,2.2,-8.46027395452708,17568.0,0.0,40.02361111111111,14.94,122.58,1.0
19427,2019-12-17 18:14:00,6.75,125.24,1.0,3.2,-9.833384937284396,19166.0,0.0,1.695138888888889,6.75,125.24,1.0
19446,2019-12-17 21:23:00,6.49,125.25,28.0,2.2,-9.764890492246632,19121.0,0.0,1.9847222222222223,6.49,125.25,28.0
19577,2019-12-18 21:48:00,6.63,125.15,20.0,2.1,-10.240494824425484,19489.0,0.0,0.6638888888888889,6.63,125.15,20.0
19587,2019-12-18 22:56:00,6.87,125.02,6.0,2.4,-7.8536210273741585,13026.0,0.0,161.79652777777778,6.87,125.02,6.0
19594,2019-12-18 23:46:00,6.54,125.25,1.0,3.7,-10.076067298414442,19465.0,0.0,0.9694444444444444,6.54,125.25,1.0
19634,2019-12-19 14:15:00,6.73,125.03,14.0,2.8,-8.465268382849171,17752.0,0.0,39.56597222222222,6.73,125.03,14.0
19645,2019-12-19 16:33:00,6.56,125.05,29.0,2.9,-9.461284872011953,19068.0,0.0,3.9930555555555554,6.56,125.05,29.0
